atm,cluster
AZ0009,2
AZ0056,2
AZ0154,7
AZ0455,5
AZ0528,5
AZ0591,5
AZ0816,7
AZ0862,7
AZ0919,5
AZ1174,1
AZ1387,5
AZ1649,6
AZ3966,7
AZ4919,7
AZ4921,5
AZ8074,7
AZ8192,3
AZ8447,7
CA0228,5
CA0245,2
CA0257,2
CA0258,1
CA0297,7
CA0318,5
CA0338,2
CA0349,5
CA0370,5
CA0375,1
CA0376,2
CA0429,2
CA0430,7
CA0447,1
CA0488,5
CA0540,2
CA0635,2
CA0654,2
CA0671,2
CA0672,1
CA0699,2
CA0728,2
CA0735,5
CA0791,5
CA0849,5
CA0868,2
CA0920,7
CA0954,2
CA1077,2
CA1092,2
CA1125,5
CA1174,2
CA1279,1
CA1284,1
CA1325,1
CA1347,1
CA1358,5
CA1363,2
CA1364,1
CA1370,2
CA1371,2
CA1392,2
CA1393,1
CA1423,7
CA1427,1
CA1445,2
CA1450,1
CA1486,5
CA1494,6
CA1567,7
CA1593,6
CA1626,2
CA1669,7
CA2201,2
CA2339,1
CA2341,1
CA2484,1
CA2658,1
CA2682,1
CA2839,7
CA7120,6
CA7179,6
CA7281,6
CA8071,3
CA8072,5
CA8337,3
CA8444,7
CA8602,5
CA8814,7
CA9159,3
CA9240,5
CA9276,4
CA9414,4
CA9480,3
CO0016,2
CO0022,5
CO0026,5
CO0082,5
CO0271,5
CO1437,6
CO2607,7
CO4174,7
CO5370,7
CO8477,5
CO8478,5
CT3518,7
DE0006,2
FL0022,4
FL0053,3
FL0054,3
FL0068,7
FL0090,3
FL0094,5
FL0096,3
FL0111,7
FL0142,2
FL0168,7
FL0173,1
FL0183,5
FL0199,1
FL0208,2
FL0258,5
FL0352,1
FL0362,3
FL0389,5
FL0402,7
FL0406,6
FL0519,2
FL0558,7
FL0639,2
FL0666,6
FL0699,5
FL1943,5
FL7393,4
FL7441,3
FL7462,4
FL7469,4
FL7493,7
FL7539,6
FL7569,3
FL7615,7
FL7679,4
FL7690,6
FL7712,6
FL7713,6
FL7718,3
FL7764,3
FL7796,4
FL7917,7
FL7969,3
FL7973,3
FL7981,7
GA0006,3
GA0013,6
GA0063,5
GA0099,7
GA0100,6
GA8738,6
ID0001,1
ID1000,7
ID1008,5
ID2001,2
ID2123,2
ID2124,5
IL0047,6
IL0062,7
IL0066,7
IL0090,7
IL0131,7
IL0169,3
IL0233,3
IL0249,5
IL0308,2
IL0476,3
IL0489,6
IL0591,5
IL0735,5
IL0899,5
IL0900,6
IL0927,7
IL0929,1
IL0939,1
IL1046,6
IL1059,3
IL1085,5
IL1103,5
IL1147,5
IL1150,6
IL1190,5
IL1424,2
IL1488,2
IL1509,5
IL1622,1
IL1659,6
IL1785,1
IL1881,5
IL1896,1
IL2000,7
IL2298,2
IL2633,5
IL3011,3
IL3229,2
IL3352,6
IL3579,5
IL3661,1
IL3691,6
IL3695,3
IL3724,7
IL3736,7
IL3744,7
IL3905,6
IL4099,5
IL4197,2
IL4415,2
IL4616,3
IL4653,5
IL4778,6
IL4815,7
IL4828,7
IL4903,6
IL4917,7
IL4930,3
IL5124,2
IL5238,5
IL5601,7
IL5633,6
IL5765,5
IL6080,5
IL8220,5
IL8234,2
IL8254,2
IL9277,2
IL9388,1
IN0023,5
IN0048,7
IN0066,5
IN0081,6
IN0086,7
IN0114,7
IN0117,1
IN1114,1
IN1914,5
IN1955,5
IN1963,7
IN1991,6
IN2431,5
IN5617,6
IN6360,7
IN6578,7
IN6591,5
IN6728,2
IN7354,5
IN8720,2
KY1026,5
KY1176,7
KY2333,6
KY2945,5
KY6203,7
KY6221,6
KY6293,2
KY6514,7
KY6521,5
LA0078,6
LA0096,5
LA0128,7
LA0171,5
LA0197,5
LA0212,5
LA0310,1
LA0711,6
LA0722,5
LA0904,5
LA1213,5
LA1283,2
LA1309,5
LA3918,5
LA7415,5
MI0018,7
MI0030,5
MI0129,2
MI0187,5
MI0198,7
MI0251,7
MI0256,5
MI0348,7
MI0373,5
MI0403,7
MI0410,7
MI0422,6
MI0452,7
MI0487,7
MI0559,7
MI0568,7
MI0571,1
MI0636,7
MI0690,6
MI0783,7
MI0846,5
MI0847,7
MI0982,6
MI1196,7
MI1255,1
MI1332,1
MI1697,1
MI2410,5
MI2682,1
MI2977,5
MI3702,6
MI3881,5
MI4958,2
MI4964,2
MI4968,2
MI4971,2
MI5462,7
MI8988,5
MI9173,2
MI9282,2
MO0870,1
NJ0017,1
NJ0025,1
NJ0054,1
NJ0094,5
NJ0096,1
NJ0134,2
NJ0137,2
NJ4536,5
NJ4691,7
NJ7071,6
