atm,cluster
AZ0009,Cluster4
AZ0056,Cluster1
AZ0154,Cluster3
AZ0455,Cluster2
AZ0528,Cluster1
AZ0591,Cluster1
AZ0816,Cluster3
AZ0862,Cluster3
AZ0919,Cluster3
AZ1174,Cluster1
AZ1387,Cluster3
AZ1649,Cluster3
AZ3966,Cluster3
AZ4919,Cluster3
AZ4921,Cluster1
AZ8074,Cluster3
AZ8192,Cluster3
AZ8447,Cluster3
CA0228,Cluster1
CA0257,Cluster1
CA0258,Cluster1
CA0297,Cluster3
CA0318,Cluster1
CA0338,Cluster1
CA0349,Cluster1
CA0370,Cluster1
CA0376,Cluster4
CA0540,Cluster1
CA0635,Cluster4
CA0654,Cluster4
CA0671,Cluster4
CA0672,Cluster4
CA0699,Cluster2
CA0728,Cluster4
CA0791,Cluster1
CA0868,Cluster1
CA1077,Cluster2
CA1174,Cluster4
CA1325,Cluster3
CA1370,Cluster4
CA1371,Cluster1
CA1427,Cluster4
CA1486,Cluster1
CA1593,Cluster3
CA1626,Cluster1
CA2658,Cluster4
CA2682,Cluster4
CA7120,Cluster3
CA7179,Cluster3
CA7281,Cluster3
CA8071,Cluster3
CA8072,Cluster3
CA8337,Cluster3
CA8444,Cluster3
CA8602,Cluster3
CA8814,Cluster2
CA9159,Cluster3
CA9240,Cluster2
CA9276,Cluster3
CA9414,Cluster3
CA9480,Cluster3
CO0016,Cluster1
CO0022,Cluster2
CO0026,Cluster2
CO0271,Cluster2
CO1437,Cluster2
CO2607,Cluster3
CO4174,Cluster3
CO5370,Cluster3
CO8477,Cluster1
CO8478,Cluster1
CT3518,Cluster3
DE0006,Cluster4
FL0022,Cluster3
FL0053,Cluster3
FL0054,Cluster3
FL0068,Cluster3
FL0090,Cluster3
FL0094,Cluster2
FL0096,Cluster3
FL0111,Cluster2
FL0142,Cluster1
FL0173,Cluster4
FL0183,Cluster3
FL0258,Cluster3
FL0352,Cluster1
FL0406,Cluster3
FL0558,Cluster3
FL0639,Cluster4
FL0666,Cluster3
FL0699,Cluster3
FL7393,Cluster3
FL7441,Cluster2
FL7462,Cluster3
FL7469,Cluster3
FL7493,Cluster3
FL7539,Cluster3
FL7569,Cluster3
FL7615,Cluster3
FL7679,Cluster3
FL7690,Cluster3
FL7712,Cluster3
FL7713,Cluster3
FL7718,Cluster3
FL7764,Cluster3
FL7796,Cluster3
FL7917,Cluster2
FL7969,Cluster3
FL7973,Cluster3
FL7981,Cluster3
GA0006,Cluster3
GA0013,Cluster3
GA0063,Cluster1
GA0099,Cluster3
GA0100,Cluster3
GA8738,Cluster3
ID0001,Cluster1
ID1000,Cluster3
ID1008,Cluster2
ID2001,Cluster1
ID2123,Cluster4
ID2124,Cluster1
IL0047,Cluster3
IL0062,Cluster3
IL0066,Cluster3
IL0090,Cluster3
IL0131,Cluster3
IL0169,Cluster3
IL0233,Cluster3
IL0249,Cluster1
IL0308,Cluster4
IL0489,Cluster3
IL0735,Cluster2
IL0899,Cluster1
IL0900,Cluster2
IL0927,Cluster3
IL0929,Cluster2
IL0939,Cluster1
IL1046,Cluster3
IL1059,Cluster3
IL1085,Cluster1
IL1103,Cluster2
IL1147,Cluster2
IL1150,Cluster3
IL1190,Cluster2
IL1424,Cluster4
IL1488,Cluster4
IL1509,Cluster1
IL1622,Cluster4
IL1659,Cluster3
IL1785,Cluster1
IL1881,Cluster2
IL1896,Cluster4
IL2298,Cluster2
IL2633,Cluster3
IL3011,Cluster3
IL3352,Cluster3
IL3579,Cluster2
IL3691,Cluster3
IL3695,Cluster3
IL3724,Cluster3
IL3736,Cluster3
IL4099,Cluster1
IL4197,Cluster1
IL4415,Cluster1
IL4616,Cluster3
IL4653,Cluster2
IL4778,Cluster3
IL4828,Cluster1
IL4903,Cluster3
IL4917,Cluster2
IL4930,Cluster3
IL5124,Cluster1
IL5238,Cluster2
IL5601,Cluster3
IL5633,Cluster3
IL5765,Cluster2
IL6080,Cluster1
IL8220,Cluster2
IL8234,Cluster2
IL8254,Cluster4
IL9277,Cluster2
IL9388,Cluster4
IN0023,Cluster1
IN0048,Cluster3
IN0066,Cluster1
IN0081,Cluster3
IN0086,Cluster3
