ATM,Cluster
AZ1174,2
CA0429,1
CA0430,1
CA0488,1
CA0540,1
CA0718,3
CA0728,2
CA0735,1
CA0849,1
CA1077,2
CA1092,1
CA1174,1
CA1279,1
CA1347,2
CA1358,1
CA1363,1
CA1364,1
CA2201,1
CA2339,1
CA2341,1
CA2484,1
DE0006,2
FL0142,2
FL0173,1
FL0352,1
FL0639,2
GA0013,1
IL0249,1
IL1424,1
IL1488,1
IL1622,1
IL1785,1
IL1896,1
IL2633,1
IL3661,2
IL4415,1
IL5124,1
IL9277,1
IL9388,1
IN0023,1
IN0066,1
IN6591,1
IN6728,1
IN7354,1
IN8720,2
KY6293,1
LA1511,1
LA7415,1
MI0129,1
MI1697,2
MI2682,1
MI8988,1
MO0870,1
NJ0054,2
NJ0134,2
NJ0137,2
NJ9001,2
NY0189,1
NY0570,1
NY7132,4
NY7135,5
NY7221,1
NY7232,1
NY7307,1
NY7351,2
NY8583,1
NY9941,6
OH0003,1
OH2116,1
OH2496,1
OH3395,7
TX0056,1
TX0248,1
TX0367,1
TX0432,2
TX0500,1
TX0552,2
TX2394,1
TX3040,1
TX3274,1
TX4225,1
WA0057,1
WA0063,2
WA0229,2
WA2733,1
WA2826,2
WI5069,2
WI9263,1
WI9264,2
AZ0009,8
AZ0056,8
AZ0154,8
AZ0455,8
AZ0528,8
AZ0591,8
AZ0816,8
AZ0862,8
AZ0919,8
AZ1387,8
AZ1649,8
AZ3966,8
AZ4919,8
AZ4921,8
AZ8074,8
AZ8192,8
AZ8447,8
CA0228,8
CA0245,9
CA0257,8
CA0258,8
CA0297,8
CA0318,8
CA0338,8
CA0349,8
CA0370,8
CA0375,9
CA0376,8
CA0447,8
CA0635,8
CA0654,8
CA0671,8
CA0672,8
CA0699,8
CA0791,8
CA0868,8
CA0920,8
CA0954,8
CA1125,8
CA1284,8
CA1325,9
CA1370,9
CA1371,8
CA1392,8
CA1393,9
CA1423,8
CA1427,8
CA1445,8
CA1450,8
CA1486,8
CA1494,8
CA1567,8
CA1593,8
CA1626,8
CA1669,8
CA2658,9
CA2667,9
CA2682,9
CA2839,9
CA7120,8
CA7179,8
CA7281,8
CA8071,8
CA8072,8
CA8337,8
CA8444,8
CA8602,8
CA8814,8
CA9159,8
CA9240,8
CA9276,8
CA9414,8
CA9480,8
CO0016,8
CO0022,8
CO0026,8
CO0082,8
CO0271,8
CO1437,8
CO2607,8
CO4174,8
CO5370,8
CO8477,8
CO8478,8
CT3518,8
FL0022,8
FL0053,8
FL0054,8
FL0068,8
FL0090,8
FL0094,8
FL0096,8
FL0111,8
FL0168,8
FL0183,8
FL0199,8
FL0208,8
FL0258,10
FL0362,8
FL0389,8
FL0402,8
FL0406,9
FL0519,8
FL0558,8
FL0666,9
FL0699,9
FL1943,8
FL7393,8
FL7441,8
FL7462,8
FL7469,8
FL7493,8
FL7539,8
FL7569,8
FL7615,8
FL7679,8
FL7690,8
FL7712,8
FL7713,8
FL7718,8
FL7764,8
FL7796,8
FL7917,8
FL7969,8
FL7973,8
FL7981,8
GA0006,8
GA0063,8
GA0099,8
GA0100,9
GA8738,8
ID0001,8
ID1000,8
ID1008,8
ID2001,8
ID2123,8
ID2124,8
IL0047,8
IL0062,8
IL0066,8
IL0090,8
IL0131,8
IL0169,8
IL0233,8
IL0308,8
IL0476,8
IL0489,8
IL0591,9
IL0735,8
IL0899,8
IL0900,8
IL0927,8
IL0929,8
IL0939,8
IL1046,8
IL1059,8
IL1085,8
IL1103,8
IL1147,8
IL1150,8
IL1190,8
IL1509,8
IL1659,8
IL1881,8
IL2000,8
IL2298,8
IL3011,8
IL3229,8
IL3352,8
IL3579,8
IL3691,8
IL3695,8
IL3724,8
IL3736,8
IL3744,8
IL3905,8
IL4099,8
IL4197,8
IL4616,8
IL4653,8
IL4778,8
IL4815,8
IL4828,8
IL4903,8
IL4917,8
IL4930,8
IL5238,8
IL5601,8
IL5633,8
IL5765,8
IL6080,8
IL8220,8
IL8234,8
IL8254,8
IN0048,8
IN0081,8
IN0086,8
IN0114,8
IN0117,8
IN1114,9
IN1914,9
IN1955,8
IN1963,8
IN1991,8
IN2431,8
IN5617,8
IN6360,8
IN6578,8
IN9275,9
KY1026,8
KY1176,8
KY2333,8
KY2945,9
KY6203,8
KY6221,8
KY6514,8
KY6521,8
LA0078,8
LA0096,8
LA0128,8
LA0171,8
LA0197,9
LA0212,8
LA0310,8
LA0711,8
LA0722,8
LA0904,8
LA1213,8
LA1283,8
LA1309,8
LA3918,8
MI0018,8
MI0030,8
MI0187,8
MI0198,8
MI0251,8
MI0256,8
MI0348,8
MI0373,8
MI0403,8
MI0410,8
MI0422,8
MI0452,8
MI0487,8
MI0559,8
MI0568,8
MI0571,8
MI0636,8
MI0690,8
MI0783,8
MI0846,8
MI0847,8
MI0982,8
MI1196,8
MI1255,8
MI1332,8
MI2410,8
MI2977,8
MI3702,8
MI3881,8
MI4958,8
MI4964,8
MI4968,8
MI4971,8
MI5462,8
MI9173,8
MI9282,8
NJ0017,8
NJ0025,8
NJ0094,8
NJ0096,8
NJ4536,8
NJ4691,8
NJ7071,8
NJ7141,8
NJ7151,8
NJ7191,8
NJ7211,8
NJ7261,8
NJ7791,8
NJ7891,8
NV0136,9
NV7112,8
NV7844,8
NV7854,8
NY0001,8
NY0004,8
NY0042,8
NY0087,8
NY0092,8
NY0231,8
NY0234,8
NY0305,8
NY0329,8
NY0438,8
NY0455,8
NY0456,8
NY0474,8
NY0475,8
NY0484,8
NY0486,8
NY0544,8
NY0608,8
NY0666,8
NY0685,8
NY0688,8
NY0742,8
NY0759,8
NY0859,9
NY0873,9
NY0879,9
NY0904,9
NY1142,8
NY1234,8
NY1433,8
NY1947,8
NY2323,8
NY2372,8
NY2523,8
NY2525,8
NY2608,9
NY2625,8
NY2641,8
NY3031,8
NY3443,8
NY3722,8
NY3892,8
NY4028,8
NY4048,8
NY4149,8
NY4255,8
NY4263,8
NY4264,8
NY4276,8
NY4281,8
NY4288,11
NY4566,8
NY4597,9
NY4721,8
NY4895,8
NY5372,8
NY5411,8
NY6921,8
NY7071,8
NY7152,8
NY7401,8
NY7591,8
NY7831,8
NY7981,8
NY8131,8
NY8211,8
OH0006,8
OH0011,12
OH0017,8
OH0074,8
OH0080,8
OH0108,9
OH1594,8
OH2727,8
OH2830,8
OH2883,8
OH2924,8
OH3309,8
OH3468,8
OH3483,8
OH3487,8
OH7612,8
OH7652,8
OH7684,8
OH7783,8
OH7805,8
OH7861,8
OH7934,8
OK0008,8
OK0113,8
OK0166,8
OK0881,8
OK2047,8
OK5003,8
OR0086,9
OR0096,13
OR2310,8
OR2311,8
OR2314,8
OR2326,8
OR2328,8
OR2337,8
OR2376,8
OR2379,8
OR2403,8
TX0061,8
TX0080,8
TX0085,8
TX0103,8
TX0107,8
TX0116,8
TX0119,8
TX0161,8
TX0163,8
TX0213,8
TX0226,8
TX0261,8
TX0279,8
TX0286,8
TX0324,8
TX0338,8
TX0352,8
TX0415,8
TX0420,8
TX0429,8
TX0447,8
TX0488,8
TX0508,8
TX0517,8
TX0529,8
TX0537,8
TX0579,9
TX0582,9
TX0586,9
TX0634,8
TX0643,8
TX0648,8
TX0653,8
TX0684,8
TX0733,9
TX0813,8
TX1612,8
TX1634,8
TX2223,8
TX2225,8
TX2227,8
TX2239,8
TX2251,8
TX2258,8
TX2992,8
TX3033,8
TX3083,8
TX3092,8
TX3117,8
TX3154,8
TX3158,8
TX3162,8
TX3217,8
TX3242,8
TX3834,8
TX3877,8
TX3912,8
TX3981,8
TX3999,8
TX4109,8
TX4163,8
TX4303,8
TX4402,8
TX4540,8
TX4610,8
TX4630,8
TX6047,8
TX6068,8
TX6156,8
TX6157,8
TX6200,8
TX6224,8
TX6228,8
TX6275,8
TX6342,8
TX6347,8
TX8009,8
TX8035,8
TX8049,8
TX9252,8
UT0029,8
UT0084,8
UT0090,8
UT1106,8
UT1114,8
UT2106,8
UT2110,8
UT2115,8
UT4945,8
WA2001,8
WA2676,8
WA2689,8
WA2707,8
WA2708,8
WA2715,8
WA2744,8
WA2751,8
WA2754,8
WA2762,8
WA2769,14
WA2785,8
WA2797,8
WA2804,8
WI0009,8
WI0010,9
WI5036,8
WI5189,8
WI5263,8
WI5268,8
WV1155,8
