atm,CLUSTER
MI0690,1
AZ8192,2
CA9480,2
TX8009,2
IL4616,3
CA9159,4
FL7712,4
IL1059,4
TX0103,4
FL7462,5
GA0006,6
GA8738,7
TX0163,8
FL0362,9
CA8071,10
NY0042,11
NY7981,12
FL7973,13
CO0271,14
FL0258,14
FL0558,14
GA0099,14
IN1955,14
KY2945,14
LA0212,14
MI0256,14
NY0685,14
NY0688,14
NY0759,14
OH0108,14
OH2924,14
TX0586,14
TX0634,14
TX0643,14
TX0648,14
TX0653,14
TX0684,14
WA0063,14
WI9263,14
NY4255,15
NY1142,16
NY6921,17
FL7764,18
OH2883,18
FL7569,19
CA7120,20
CA7281,20
IL0900,20
IL5633,20
IN5617,20
NY3892,21
FL0090,22
FL7718,22
FL7969,22
FL7796,23
NV7112,24
NY8211,25
FL7393,26
FL0053,27
NY2523,28
CA9414,29
FL0022,30
IL4930,31
FL7469,32
TX0429,33
CA8337,34
FL0096,34
TX0226,35
AZ0455,36
AZ0528,36
AZ0591,36
AZ0919,36
AZ4921,36
CA0228,36
CA0257,36
CA0318,36
CA0349,36
CA0370,36
CA0447,36
CA0488,36
CA0791,36
CA0849,36
CA0868,36
CA1125,36
CA1445,36
CA1486,36
CA2484,36
CA8072,36
CA9240,36
CO0016,36
CO0022,36
CO0082,36
CO8478,36
FL0111,36
FL0389,36
GA0063,36
ID1008,36
ID2124,36
IL0249,36
IL0899,36
IL0929,36
IL1085,36
IL1103,36
IL1147,36
IL1509,36
IL1881,36
IL2298,36
IL3229,36
IL3579,36
IL4099,36
IL4653,36
IL5124,36
IL5238,36
IL6080,36
IL8220,36
IL9277,36
IN0023,36
IN0066,36
IN2431,36
IN6591,36
IN7354,36
KY6521,36
LA0171,36
LA0722,36
LA1309,36
LA7415,36
MI0187,36
MI0373,36
MI0571,36
MI0846,36
MI2977,36
MI4971,36
MI8988,36
NJ0017,36
NJ0094,36
NJ4536,36
NY0092,36
NY0231,36
NY0329,36
NY0484,36
NY0666,36
NY1234,36
NY1947,36
NY2625,36
NY3031,36
NY3443,36
NY4028,36
NY4048,36
NY4263,36
NY4264,36
NY4281,36
NY4895,36
NY7132,36
NY7135,36
NY7232,36
NY7307,36
NY7401,36
NY7831,36
OH2116,36
OH2830,36
OH7652,36
OH7783,36
