atm,volatility.segment,volume.segment
AZ0001,2-Mid,1-Low
AZ0003,2-Mid,1-Low
AZ0004,3-High,1-Low
AZ0007,2-Mid,1-Low
AZ0008,1-Low,3-High
AZ0009,1-Low,1-Low
AZ0011,1-Low,2-Mid
AZ0013,2-Mid,2-Mid
AZ0014,2-Mid,1-Low
AZ0017,1-Low,2-Mid
AZ0019,1-Low,3-High
AZ0021,1-Low,3-High
AZ0024,1-Low,3-High
AZ0031,1-Low,3-High
AZ0036,1-Low,3-High
AZ0038,1-Low,2-Mid
AZ0040,1-Low,2-Mid
AZ0044,2-Mid,3-High
AZ0046,1-Low,3-High
AZ0047,1-Low,2-Mid
AZ0048,1-Low,3-High
AZ0053,1-Low,1-Low
AZ0056,1-Low,1-Low
AZ0057,1-Low,3-High
AZ0058,2-Mid,2-Mid
AZ0059,1-Low,2-Mid
AZ0061,2-Mid,2-Mid
AZ0062,2-Mid,2-Mid
AZ0063,1-Low,1-Low
AZ0064,2-Mid,3-High
AZ0065,1-Low,2-Mid
AZ0070,1-Low,2-Mid
AZ0073,1-Low,2-Mid
AZ0076,1-Low,3-High
AZ0077,1-Low,2-Mid
AZ0081,1-Low,3-High
AZ0085,3-High,1-Low
AZ0086,3-High,1-Low
AZ0087,1-Low,1-Low
AZ0089,1-Low,2-Mid
AZ0094,2-Mid,1-Low
AZ0099,1-Low,2-Mid
AZ0100,3-High,1-Low
AZ0105,3-High,1-Low
AZ0106,2-Mid,1-Low
AZ0107,2-Mid,2-Mid
AZ0108,2-Mid,2-Mid
AZ0109,2-Mid,1-Low
AZ0110,3-High,1-Low
AZ0111,3-High,1-Low
AZ0113,1-Low,3-High
AZ0114,2-Mid,1-Low
AZ0115,3-High,1-Low
AZ0117,1-Low,3-High
AZ0120,1-Low,3-High
AZ0121,1-Low,1-Low
AZ0122,2-Mid,2-Mid
AZ0123,2-Mid,3-High
AZ0124,1-Low,2-Mid
AZ0125,3-High,1-Low
AZ0128,1-Low,2-Mid
AZ0130,1-Low,3-High
AZ0132,1-Low,3-High
AZ0133,3-High,1-Low
AZ0136,1-Low,2-Mid
AZ0137,1-Low,1-Low
AZ0139,2-Mid,1-Low
AZ0140,2-Mid,1-Low
AZ0141,3-High,1-Low
AZ0142,1-Low,2-Mid
AZ0146,1-Low,3-High
AZ0147,1-Low,3-High
AZ0148,1-Low,3-High
