totalTickets,eventdate,distance,atm
0,10/20/2013,1625.71,AZ0004
0,4/19/2013,2610.22,AZ0004
0,4/18/2013,1625.71,AZ0004
36,5/19/2013,833.91,AZ0004
912,9/1/2013,977.18,AZ0004
812,9/2/2013,977.18,AZ0004
1015,9/1/2013,977.18,AZ0004
820,8/13/2013,977.18,AZ0004
833,9/19/2013,977.18,AZ0004
816,9/29/2013,977.18,AZ0004
809,9/28/2013,977.18,AZ0004
754,9/4/2013,977.18,AZ0004
850,9/15/2013,977.18,AZ0004
798,9/15/2013,977.18,AZ0004
772,9/29/2013,977.18,AZ0004
0,4/26/2013,977.18,AZ0004
0,4/14/2013,977.18,AZ0004
0,4/14/2013,977.18,AZ0004
0,4/13/2013,977.18,AZ0004
0,4/28/2013,977.18,AZ0004
0,4/30/2013,977.18,AZ0004
916,7/14/2013,977.18,AZ0004
903,8/8/2013,977.18,AZ0004
848,7/14/2013,977.18,AZ0004
938,7/26/2013,977.18,AZ0004
12,5/18/2013,1877.86,AZ0004
0,5/4/2013,1877.86,AZ0004
6,5/18/2013,1877.86,AZ0004
0,5/20/2013,1877.86,AZ0004
6,5/19/2013,1877.86,AZ0004
0,5/6/2013,1877.86,AZ0004
0,5/9/2013,1877.86,AZ0004
0,5/10/2013,1877.86,AZ0004
0,5/2/2013,1877.86,AZ0004
0,5/5/2013,1877.86,AZ0004
15,5/19/2013,1877.86,AZ0004
0,5/3/2013,1877.86,AZ0004
0,5/5/2013,1877.86,AZ0004
0,5/16/2013,1877.86,AZ0004
6,5/19/2013,1625.71,AZ0004
42,6/30/2013,833.91,AZ0004
64,6/29/2013,833.91,AZ0004
50,6/29/2013,833.91,AZ0004
47,6/30/2013,833.91,AZ0004
65,6/30/2013,833.91,AZ0004
0,7/1/2013,833.91,AZ0004
0,6/27/2013,833.91,AZ0004
0,6/27/2013,833.91,AZ0004
5,6/29/2013,833.91,AZ0004
0,6/28/2013,833.91,AZ0004
26,6/9/2013,1088.63,AZ0004
43,1/12/2014,977.18,AZ0004
0,11/23/2013,833.91,AZ0004
144,12/3/2013,833.91,AZ0004
45,8/10/2013,833.91,AZ0004
45,8/24/2013,833.91,AZ0004
45,8/4/2013,833.91,AZ0004
102,5/27/2013,833.91,AZ0004
45,7/10/2013,833.91,AZ0004
41,6/20/2013,833.91,AZ0004
41,9/14/2013,833.91,AZ0004
45,9/7/2013,833.91,AZ0004
41,9/1/2013,833.91,AZ0004
45,8/7/2013,833.91,AZ0004
45,8/11/2013,833.91,AZ0004
45,8/15/2013,833.91,AZ0004
41,7/21/2013,833.91,AZ0004
45,6/22/2013,833.91,AZ0004
83,6/15/2013,833.91,AZ0004
43,7/14/2013,833.91,AZ0004
45,7/3/2013,833.91,AZ0004
23,6/16/2013,833.91,AZ0004
44,5/26/2013,833.91,AZ0004
0,4/22/2013,833.91,AZ0004
0,4/21/2013,833.91,AZ0004
0,4/28/2013,833.91,AZ0004
10,7/21/2013,833.91,AZ0004
8,7/14/2013,833.91,AZ0004
78,7/11/2013,1088.63,AZ0004
2,6/7/2013,1088.63,AZ0004
2,6/8/2013,1088.63,AZ0004
826,9/17/2013,977.18,AZ0004
830,9/19/2013,977.18,AZ0004
849,8/29/2013,977.18,AZ0004
1010,8/31/2013,977.18,AZ0004
833,8/11/2013,977.18,AZ0004
877,7/28/2013,977.18,AZ0004
911,7/28/2013,977.18,AZ0004
796,8/14/2013,977.18,AZ0004
831,8/27/2013,977.18,AZ0004
0,4/28/2013,977.18,AZ0004
0,4/27/2013,977.18,AZ0004
0,4/10/2013,977.18,AZ0004
0,5/1/2013,977.18,AZ0004
0,5/2/2013,977.18,AZ0004
425,11/6/2013,833.91,AZ0004
0,5/10/2013,977.18,AZ0004
988,7/7/2013,977.18,AZ0004
765,9/4/2013,977.18,AZ0004
811,9/14/2013,977.18,AZ0004
883,9/18/2013,977.18,AZ0004
845,7/13/2013,977.18,AZ0004
820,8/10/2013,977.18,AZ0004
823,8/28/2013,977.18,AZ0004
831,8/14/2013,977.18,AZ0004
941,7/7/2013,977.18,AZ0004
959,7/10/2013,977.18,AZ0004
1064,6/9/2013,977.18,AZ0004
832,6/18/2013,977.18,AZ0004
952,7/11/2013,977.18,AZ0004
855,6/19/2013,977.18,AZ0004
936,7/9/2013,977.18,AZ0004
843,7/12/2013,977.18,AZ0004
810,6/19/2013,977.18,AZ0004
852,6/22/2013,977.18,AZ0004
559,8/31/2013,833.91,AZ0004
877,6/22/2013,977.18,AZ0004
417,12/9/2013,833.91,AZ0004
876,6/23/2013,977.18,AZ0004
0,5/11/2013,1877.86,AZ0004
10,5/13/2013,1877.86,AZ0004
14,5/16/2013,1877.86,AZ0004
9,5/12/2013,1877.86,AZ0004
6,5/17/2013,1877.86,AZ0004
8,5/12/2013,1877.86,AZ0004
43,5/12/2013,833.91,AZ0004
855,8/7/2013,977.18,AZ0004
849,7/27/2013,977.18,AZ0004
922,5/25/2013,977.18,AZ0004
1093,8/11/2013,977.18,AZ0004
1029,7/6/2013,977.18,AZ0004
875,5/15/2013,977.18,AZ0004
934,7/23/2013,977.18,AZ0004
954,7/24/2013,977.18,AZ0004
972,7/25/2013,977.18,AZ0004
329,5/31/2013,833.91,AZ0004
1038,5/26/2013,977.18,AZ0004
880,5/15/2013,977.18,AZ0004
1136,6/8/2013,977.18,AZ0004
1041,5/28/2013,977.18,AZ0004
454,5/11/2013,977.18,AZ0004
726,5/14/2013,977.18,AZ0004
996,5/27/2013,977.18,AZ0004
1847,6/9/2013,977.18,AZ0004
743,5/12/2013,977.18,AZ0004
345,10/10/2013,833.91,AZ0004
1259,8/1/2013,833.91,AZ0004
1007,5/26/2013,977.18,AZ0004
876,5/12/2013,977.18,AZ0004
539,9/14/2013,1782.45,AZ0100
35,8/31/2013,1782.45,AZ0100
584,10/19/2013,1782.45,AZ0100
516,8/31/2013,1782.45,AZ0100
625,11/9/2013,1782.45,AZ0100
627,11/16/2013,1782.45,AZ0100
1583,11/23/2013,1782.45,AZ0100
539,9/14/2013,1782.45,AZ0105
35,8/31/2013,1782.45,AZ0105
584,10/19/2013,1782.45,AZ0105
516,8/31/2013,1782.45,AZ0105
625,11/9/2013,1782.45,AZ0105
627,11/16/2013,1782.45,AZ0105
1583,11/23/2013,1782.45,AZ0105
8,11/6/2013,1960.66,AZ0164
8,11/16/2013,1960.66,AZ0164
8,11/11/2013,1960.66,AZ0164
8,11/14/2013,1960.66,AZ0164
8,10/27/2013,1960.66,AZ0164
13,11/2/2013,1960.66,AZ0164
14,11/4/2013,1960.66,AZ0164
8,11/7/2013,1960.66,AZ0164
8,11/1/2013,1960.66,AZ0164
8,10/28/2013,1960.66,AZ0164
8,11/18/2013,1960.66,AZ0164
8,10/31/2013,1960.66,AZ0164
8,11/9/2013,1960.66,AZ0164
8,11/3/2013,1960.66,AZ0164
8,11/10/2013,1960.66,AZ0164
8,10/26/2013,1960.66,AZ0164
8,11/10/2013,1960.66,AZ0164
16,10/23/2013,1960.66,AZ0164
8,10/27/2013,1960.66,AZ0164
8,11/3/2013,1960.66,AZ0164
8,11/2/2013,1960.66,AZ0164
13,11/9/2013,1960.66,AZ0164
13,11/16/2013,1960.66,AZ0164
8,11/17/2013,1960.66,AZ0164
8,11/13/2013,1960.66,AZ0164
8,10/30/2013,1960.66,AZ0164
8,10/25/2013,1960.66,AZ0164
8,11/15/2013,1960.66,AZ0164
8,11/17/2013,1960.66,AZ0164
8,10/24/2013,1960.66,AZ0164
8,11/8/2013,1960.66,AZ0164
21,10/26/2013,1960.66,AZ0164
0,4/26/2013,1960.66,AZ0164
0,5/6/2013,1960.66,AZ0164
0,5/5/2013,1960.66,AZ0164
4,6/30/2013,1960.66,AZ0164
0,5/1/2013,1960.66,AZ0164
0,5/3/2013,1960.66,AZ0164
0,5/4/2013,1960.66,AZ0164
0,5/5/2013,1960.66,AZ0164
6,6/29/2013,1960.66,AZ0164
4,7/1/2013,1960.66,AZ0164
20,6/30/2013,1960.66,AZ0164
35,6/27/2013,1960.66,AZ0164
0,5/4/2013,1960.66,AZ0164
45,6/26/2013,1960.66,AZ0164
51,6/28/2013,1960.66,AZ0164
59,6/29/2013,1960.66,AZ0164
0,5/2/2013,1960.66,AZ0164
753,11/30/2013,2577.19,AZ0164
735,10/19/2013,2577.19,AZ0164
2,9/5/2013,2577.19,AZ0164
634,9/14/2013,2577.19,AZ0164
715,9/28/2013,2577.19,AZ0164
499,9/5/2013,2577.19,AZ0164
751,10/12/2013,2577.19,AZ0164
728,11/16/2013,2577.19,AZ0164
8,11/6/2013,1960.66,AZ0165
8,11/16/2013,1960.66,AZ0165
8,11/11/2013,1960.66,AZ0165
8,11/14/2013,1960.66,AZ0165
8,10/27/2013,1960.66,AZ0165
13,11/2/2013,1960.66,AZ0165
14,11/4/2013,1960.66,AZ0165
8,11/7/2013,1960.66,AZ0165
8,11/1/2013,1960.66,AZ0165
8,10/28/2013,1960.66,AZ0165
8,11/18/2013,1960.66,AZ0165
8,10/31/2013,1960.66,AZ0165
8,11/9/2013,1960.66,AZ0165
8,11/3/2013,1960.66,AZ0165
8,11/10/2013,1960.66,AZ0165
8,10/26/2013,1960.66,AZ0165
8,11/10/2013,1960.66,AZ0165
16,10/23/2013,1960.66,AZ0165
8,10/27/2013,1960.66,AZ0165
8,11/3/2013,1960.66,AZ0165
8,11/2/2013,1960.66,AZ0165
13,11/9/2013,1960.66,AZ0165
13,11/16/2013,1960.66,AZ0165
8,11/17/2013,1960.66,AZ0165
8,11/13/2013,1960.66,AZ0165
8,10/30/2013,1960.66,AZ0165
8,10/25/2013,1960.66,AZ0165
8,11/15/2013,1960.66,AZ0165
8,11/17/2013,1960.66,AZ0165
8,10/24/2013,1960.66,AZ0165
8,11/8/2013,1960.66,AZ0165
21,10/26/2013,1960.66,AZ0165
0,4/26/2013,1960.66,AZ0165
0,5/6/2013,1960.66,AZ0165
0,5/5/2013,1960.66,AZ0165
4,6/30/2013,1960.66,AZ0165
0,5/1/2013,1960.66,AZ0165
0,5/3/2013,1960.66,AZ0165
0,5/4/2013,1960.66,AZ0165
0,5/5/2013,1960.66,AZ0165
6,6/29/2013,1960.66,AZ0165
4,7/1/2013,1960.66,AZ0165
20,6/30/2013,1960.66,AZ0165
35,6/27/2013,1960.66,AZ0165
0,5/4/2013,1960.66,AZ0165
45,6/26/2013,1960.66,AZ0165
51,6/28/2013,1960.66,AZ0165
59,6/29/2013,1960.66,AZ0165
0,5/2/2013,1960.66,AZ0165
753,11/30/2013,2577.19,AZ0165
735,10/19/2013,2577.19,AZ0165
2,9/5/2013,2577.19,AZ0165
634,9/14/2013,2577.19,AZ0165
715,9/28/2013,2577.19,AZ0165
499,9/5/2013,2577.19,AZ0165
751,10/12/2013,2577.19,AZ0165
728,11/16/2013,2577.19,AZ0165
