date,holiday,impact
2012-12-31,New Year's Day,Major-1
2013-01-01,New Year's Day,Major
2013-01-02,New Year's Day,Major+1
2013-01-20,MLK Day,Minor-1
2013-01-21,MLK Day,Minor
2013-01-22,MLK Day,Minor+1
2013-02-17,Presidents' Day,Minor-1
2013-02-18,Presidents' Day,Minor
2013-02-19,Presidents' Day,Minor+1
2013-05-26,Memorial Day,Minor-1
2013-05-27,Memorial Day,Minor
2013-05-28,Memorial Day,Minor+1
2013-07-03,Independence Day,Major-1
2013-07-04,Independence Day,Major
2013-07-05,Independence Day,Major+1
2013-09-01,Labor Day,Major-1
2013-09-02,Labor Day,Major
2013-09-03,Labor Day,Major+1
2013-11-10,Veterans' Day,Minor-1
2013-11-11,Veterans' Day,Minor
2013-11-12,Veterans' Day,Minor+1
2013-11-27,Thanksgiving,Major-1
2013-11-28,Thanksgiving,Major
2013-11-29,Thanksgiving,Major+1
2013-12-24,Christmas,Major-1
2013-12-25,Christmas,Major
2013-12-26,Christmas,Major+1
2011-12-31,New Year's Day,Major-1
2012-01-01,New Year's Day,Major
2012-01-02,New Year's Day,Major+1
2012-01-15,MLK Day,Minor-1
2012-01-16,MLK Day,Minor
2012-01-17,MLK Day,Minor+1
2012-02-19,Presidents' Day,Minor-1
2012-02-20,Presidents' Day,Minor
2012-02-21,Presidents' Day,Minor+1
2012-05-27,Memorial Day,Minor-1
2012-05-28,Memorial Day,Minor
2012-05-29,Memorial Day,Minor+1
2012-07-03,Independence Day,Major-1
2012-07-04,Independence Day,Major
2012-07-05,Independence Day,Major+1
2012-09-02,Labor Day,Major-1
2012-09-03,Labor Day,Major
2012-09-04,Labor Day,Major+1
2012-11-10,Veterans' Day,Minor-1
2012-11-11,Veterans' Day,Minor
2012-11-12,Veterans' Day,Minor+1
2012-11-21,Thanksgiving,Major-1
2012-11-22,Thanksgiving,Major
2012-11-23,Thanksgiving,Major+1
2012-12-24,Christmas,Major-1
2012-12-25,Christmas,Major
2012-12-26,Christmas,Major+1
2010-12-31,New Year's Day,Major-1
2011-01-01,New Year's Day,Major
2011-01-02,New Year's Day,Major+1
2011-01-16,MLK Day,Minor-1
2011-01-17,MLK Day,Minor
2011-01-18,MLK Day,Minor+1
2011-02-20,Presidents' Day,Minor-1
2011-02-21,Presidents' Day,Minor
2011-02-22,Presidents' Day,Minor+1
2011-05-29,Memorial Day,Minor-1
2011-05-30,Memorial Day,Minor
2011-05-31,Memorial Day,Minor+1
2011-07-03,Independence Day,Major-1
2011-07-04,Independence Day,Major
2011-07-05,Independence Day,Major+1
2011-09-04,Labor Day,Major-1
2011-09-05,Labor Day,Major
2011-09-06,Labor Day,Major+1
2011-11-10,Veterans' Day,Minor-1
2011-11-11,Veterans' Day,Minor
2011-11-12,Veterans' Day,Minor+1
2011-11-23,Thanksgiving,Major-1
2011-11-24,Thanksgiving,Major
2011-11-25,Thanksgiving,Major+1
2011-12-24,Christmas,Major-1
2011-12-25,Christmas,Major
2011-12-26,Christmas,Major+1
2013-12-31,New Year's Day,Major-1
2014-01-01,New Year's Day,Major
2014-01-02,New Year's Day,Major+1
2014-01-19,MLK Day,Minor-1
2014-01-20,MLK Day,Minor
2014-01-21,MLK Day,Minor+1
2014-02-16,Presidents' Day,Minor-1
2014-02-17,Presidents' Day,Minor
2014-02-18,Presidents' Day,Minor+1
2014-05-25,Memorial Day,Minor-1
2014-05-26,Memorial Day,Minor
2014-05-27,Memorial Day,Minor+1
2014-07-03,Independence Day,Major-1
2014-07-04,Independence Day,Major
2014-07-05,Independence Day,Major+1
2014-08-31,Labor Day,Major-1
2014-09-01,Labor Day,Major
2014-09-02,Labor Day,Major+1
2014-11-10,Veterans' Day,Minor-1
2014-11-11,Veterans' Day,Minor
2014-11-12,Veterans' Day,Minor+1
2014-11-26,Thanksgiving,Major-1
2014-11-27,Thanksgiving,Major
2014-11-28,Thanksgiving,Major+1
2014-12-24,Christmas,Major-1
2014-12-25,Christmas,Major
2014-12-26,Christmas,Major+1
2014-12-31,New Year's Day,Major-1
2015-01-01,New Year's Day,Major
2015-01-02,New Year's Day,Major+1
2015-01-18,MLK Day,Minor-1
2015-01-19,MLK Day,Minor
2015-01-20,MLK Day,Minor+1
2015-02-15,Presidents' Day,Minor-1
2015-02-16,Presidents' Day,Minor
2015-02-17,Presidents' Day,Minor+1
2015-05-24,Memorial Day,Minor-1
2015-05-25,Memorial Day,Minor
2015-05-26,Memorial Day,Minor+1
2015-07-03,Independence Day,Major-1
2015-07-04,Independence Day,Major
2015-07-05,Independence Day,Major+1
2015-09-06,Labor Day,Major-1
2015-09-07,Labor Day,Major
2015-09-08,Labor Day,Major+1
2015-11-10,Veterans' Day,Minor-1
2015-11-11,Veterans' Day,Minor
2015-11-12,Veterans' Day,Minor+1
2015-11-25,Thanksgiving,Major-1
2015-11-26,Thanksgiving,Major
2015-11-27,Thanksgiving,Major+1
2015-12-24,Christmas,Major-1
2015-12-25,Christmas,Major
2015-12-26,Christmas,Major+1
