base,date,pay,type
2015-12-31,2015-12-30,post,end of month
2015-12-31,2015-12-31,pay,end of month
2015-12-31,2016-01-01,pre,end of month
2015-12-15,2015-12-16,post,middle of month
2015-12-15,2015-12-15,pay,middle of month
2015-12-15,2015-12-14,pre,middle of month
2015-12-01,2015-12-02,post,first of month
2015-12-01,2015-12-01,pay,first of month
2015-12-01,2015-11-30,pre,first of month
2015-12-01,2015-11-28,post,end of month
2015-12-01,2015-11-27,pay,end of month
2015-12-01,2015-11-26,pre,end of month
2015-11-15,2015-11-14,post,middle of month
2015-11-15,2015-11-13,pay,middle of month
2015-11-15,2015-11-12,pre,middle of month
2015-11-01,2015-10-31,post,end of month
2015-11-01,2015-10-31,post,first of month
2015-11-01,2015-10-30,pay,end of month
2015-11-01,2015-10-30,pay,first of month
2015-11-01,2015-10-29,pre,end of month
2015-11-01,2015-10-29,pre,first of month
2015-10-15,2015-10-16,post,middle of month
2015-10-15,2015-10-15,pay,middle of month
2015-10-15,2015-10-14,pre,middle of month
2015-10-01,2015-10-02,post,first of month
2015-10-01,2015-10-01,pay,first of month
2015-10-01,2015-10-01,post,end of month
2015-10-01,2015-09-30,pay,end of month
2015-10-01,2015-09-30,pre,first of month
2015-10-01,2015-09-29,pre,end of month
2015-09-15,2015-09-16,post,middle of month
2015-09-15,2015-09-15,pay,middle of month
2015-09-15,2015-09-14,pre,middle of month
2015-09-01,2015-09-02,post,first of month
2015-09-01,2015-09-01,pay,first of month
2015-09-01,2015-09-01,post,end of month
2015-09-01,2015-08-31,pay,end of month
2015-09-01,2015-08-31,pre,first of month
2015-09-01,2015-08-30,pre,end of month
2015-08-15,2015-08-15,post,middle of month
2015-08-15,2015-08-14,pay,middle of month
2015-08-15,2015-08-13,pre,middle of month
2015-08-01,2015-08-01,post,end of month
2015-08-01,2015-08-01,post,first of month
2015-08-01,2015-07-31,pay,end of month
2015-08-01,2015-07-31,pay,first of month
2015-08-01,2015-07-30,pre,end of month
2015-08-01,2015-07-30,pre,first of month
2015-07-15,2015-07-16,post,middle of month
2015-07-15,2015-07-15,pay,middle of month
2015-07-15,2015-07-14,pre,middle of month
2015-07-01,2015-07-02,post,first of month
2015-07-01,2015-07-01,pay,first of month
2015-07-01,2015-07-01,post,end of month
2015-07-01,2015-06-30,pay,end of month
2015-07-01,2015-06-30,pre,first of month
2015-07-01,2015-06-29,pre,end of month
2015-06-15,2015-06-16,post,middle of month
2015-06-15,2015-06-15,pay,middle of month
2015-06-15,2015-06-14,pre,middle of month
2015-06-01,2015-05-31,post,first of month
2015-06-01,2015-05-30,pay,first of month
2015-06-01,2015-05-30,post,end of month
2015-06-01,2015-05-29,pay,end of month
2015-06-01,2015-05-29,pre,first of month
2015-06-01,2015-05-28,pre,end of month
2015-05-15,2015-05-16,post,middle of month
2015-05-15,2015-05-15,pay,middle of month
2015-05-15,2015-05-14,pre,middle of month
2015-05-01,2015-05-02,post,first of month
2015-05-01,2015-05-01,pay,first of month
2015-05-01,2015-05-01,post,end of month
2015-05-01,2015-04-30,pay,end of month
